Step;Time[fs];Kin.[a.u.];Temp[K];Pot.[a.u.];Cons Qty;Used time
77;154;0.187081381;310.1079113;-1.135653956;-0.981763853;0.029241228
78;156;0.194393574;322.2286747;-1.13983928;-0.981846292;0.022948834
79;158;0.198264383;328.644964;-1.143361851;-0.981939544;0.024464083
80;160;0.19742805;327.2586502;-1.144835417;-0.982007806;0.022729427
81;162;0.197647558;327.6225089;-1.143310731;-0.982014152;0.023362736
82;164;0.190351619;315.5286909;-1.138754947;-0.981945987;0.023504414
83;166;0.185924442;308.190159;-1.132285351;-0.981826339;0.031178224
84;168;0.181693668;301.1771871;-1.125562068;-0.981700837;0.025260692
85;170;0.176539619;292.6337856;-1.120404148;-0.981617334;0.024967664
86;172;0.17164623;284.5224554;-1.11806621;-0.981598187;0.024313196
87;174;0.171964253;285.049614;-1.118899132;-0.981637256;0.022892712
88;176;0.173996521;288.4183218;-1.122431843;-0.98171713;0.023553723
89;178;0.177827375;294.7683825;-1.127623623;-0.981819349;0.023475386
90;180;0.18525561;307.0814955;-1.133083073;-0.981918173;0.032821889
91;182;0.18678793;309.6214845;-1.137410948;-0.981980567;0.02484694
92;184;0.186288273;308.7932486;-1.139844391;-0.981986506;0.025295856
93;186;0.189857584;314.7097722;-1.140472272;-0.981941261;0.02474333
94;188;0.190223532;315.3163724;-1.139909481;-0.981866772;0.02478381
95;190;0.189915088;314.8050915;-1.13917886;-0.981797982;0.024472425
96;192;0.188789516;312.9393334;-1.139291964;-0.981767548;0.024766767
97;194;0.188925739;313.1651378;-1.140707038;-0.981787994;0.033284893
98;196;0.187777744;311.2622096;-1.143203264;-0.981843667;0.024980263
99;198;0.191965874;318.2044948;-1.146050731;-0.981898788;0.024656488
100;200;0.196452262;325.6411745;-1.148420598;-0.981919775;0.023697705
101;202;0.197899208;328.0396475;-1.149880522;-0.981894596;0.024405808
102;204;0.195270548;323.6823538;-1.150706286;-0.981844892;0.023810222
103;206;0.193848449;321.3250694;-1.151634126;-0.981809884;0.03240424
104;208;0.196106096;325.0673662;-1.153219242;-0.981815311;0.024690959
105;210;0.197745276;327.7844875;-1.155393956;-0.981860866;0.025316838
106;212;0.197120363;326.7486264;-1.157535931;-0.981928257;0.024633391
107;214;0.201018675;333.2105059;-1.158735484;-0.981985203;0.025086323
108;216;0.196831777;326.2702627;-1.158248671;-0.981995626;0.032566537
109;218;0.19731658;327.0738778;-1.15597008;-0.981947831;0.024525465
110;220;0.195175654;323.5250572;-1.152543165;-0.981865254;0.023052215
111;222;0.191564308;317.5388546;-1.149142221;-0.981790327;0.024797839
112;224;0.18952377;314.156439;-1.146897918;-0.98175477;0.02453975
113;226;0.188869218;313.0714485;-1.146312367;-0.98176326;0.025081083
114;228;0.187916581;311.4923482;-1.147267295;-0.981802958;0.032302471
115;230;0.188731231;312.8427187;-1.149303716;-0.981860177;0.023939221
116;232;0.190157602;315.2070859;-1.151699199;-0.981923416;0.024020375
117;234;0.191893338;318.0842582;-1.153537261;-0.981975538;0.023477405
118;236;0.194314723;322.0979695;-1.154044436;-0.981996657;0.022576363
119;238;0.194580591;322.5386753;-1.152843049;-0.981975191;0.02241072
120;240;0.191641464;317.6667504;-1.150151796;-0.981921038;0.0303047
121;242;0.186997264;309.9684795;-1.146682816;-0.981860073;0.024055794
122;244;0.181590268;301.005789;-1.143317813;-0.981815746;0.025089162
123;246;0.17774359;294.6294991;-1.140682164;-0.981798282;0.025079242
124;248;0.1754298;290.7941379;-1.139023992;-0.98180962;0.025355677
125;250;0.175872247;291.5275422;-1.138118807;-0.981844291;0.023288474
126;252;0.174893258;289.9047602;-1.137444087;-0.981888086;0.023768178
127;254;0.175005615;290.0910051;-1.136345637;-0.981921758;0.022181083
128;256;0.172930212;286.6507965;-1.134237588;-0.981929118;0.03205453
129;258;0.169779866;281.4287527;-1.130944928;-0.981905856;0.023902467
130;260;0.167289133;277.3000888;-1.126831454;-0.981857823;0.025477814
131;262;0.160637501;266.2742806;-1.122599913;-0.981791187;0.023771824
132;264;0.157137427;260.4725239;-1.119396052;-0.981719075;0.023520859
133;266;0.154917469;256.7927001;-1.118405015;-0.981664389;0.022856223
134;268;0.157031585;260.2970783;-1.120486157;-0.9816571;0.023297774
135;270;0.164772859;273.1290899;-1.125732836;-0.981717039;0.03273809
136;272;0.16916234;280.4051364;-1.133167585;-0.981836871;0.024380048
137;274;0.178366172;295.6614972;-1.141002334;-0.981980331;0.022922244
138;276;0.183037506;303.4047455;-1.147144192;-0.982095384;0.023791887
139;278;0.186474387;309.1017535;-1.149983532;-0.982136759;0.024454897
140;280;0.186764496;309.5826407;-1.148896527;-0.982084271;0.024343614
141;282;0.187896836;311.4596179;-1.144548607;-0.981959028;0.032561308
142;284;0.181715248;301.212958;-1.138642898;-0.98181681;0.024083471
143;286;0.176971107;293.3490231;-1.133256338;-0.981718093;0.02252923
144;288;0.173512706;287.6163439;-1.129856237;-0.981692084;0.02246675
145;290;0.169286018;280.6101453;-1.128804258;-0.981733129;0.02479573
146;292;0.168621841;279.5091999;-1.1295418;-0.981813561;0.025251233
147;294;0.172291669;285.5923424;-1.13085737;-0.981896842;0.024565736
148;296;0.174129691;288.6390657;-1.131305014;-0.981944025;0.033250647
149;298;0.172072173;285.2285026;-1.130020118;-0.981934847;0.02398438
150;300;0.168145618;278.719807;-1.127108434;-0.981875741;0.023886184
151;302;0.165309067;274.017913;-1.123540929;-0.98178944;0.023809037
152;304;0.162063513;268.6380512;-1.120644968;-0.981704564;0.025832167
153;306;0.161734288;268.0923249;-1.11972041;-0.98165545;0.025037205
154;308;0.161222113;267.2433391;-1.121505162;-0.981673123;0.032744569
155;310;0.166261769;275.5971211;-1.125767398;-0.981765224;0.023237051
156;312;0.171532513;284.3339581;-1.131278197;-0.981897475;0.046654676
157;314;0.180725425;299.5722168;-1.13616864;-0.981998975;0.02412533
158;316;0.180363656;298.9725459;-1.138841224;-0.982017672;0.023743716
159;318;0.180210581;298.7188068;-1.138997402;-0.981969117;0.024087966
160;320;0.180487259;299.1774305;-1.137378944;-0.981891755;0.032339583
161;322;0.17703813;293.4601216;-1.135087527;-0.981812534;0.024530273
162;324;0.175194384;290.4039097;-1.133302264;-0.981754677;0.023479417
163;326;0.176992837;293.3850432;-1.132811002;-0.98174266;0.022927067
164;328;0.180846574;299.7730361;-1.133665274;-0.981785408;0.02319184
165;330;0.182722079;302.8818904;-1.135089472;-0.981859202;0.022329206
166;332;0.182919868;303.2097472;-1.136030233;-0.981916486;0.03023569
167;334;0.183959953;304.933803;-1.135714108;-0.981918306;0.023232554
168;336;0.180101336;298.5377218;-1.134062981;-0.981850962;0.023860944
169;338;0.180139734;298.6013713;-1.132174528;-0.981748024;0.023779446
170;340;0.179455333;297.4669014;-1.131604936;-0.981668269;0.024387359
171;342;0.181139877;300.2592179;-1.133525812;-0.981659084;0.024045736
172;344;0.188178333;311.926231;-1.138100285;-0.981727989;0.024941559
173;346;0.194195152;321.8997685;-1.144326914;-0.981847854;0.032389823
174;348;0.199942088;331.425945;-1.150371287;-0.981975932;0.023828535
175;350;0.203545501;337.3989967;-1.154273782;-0.982068079;0.023072854
176;352;0.204034399;338.2093996;-1.15469575;-0.982090049;0.025157694
177;354;0.200885053;332.9890121;-1.151318894;-0.982029892;0.024512646
178;356;0.193398396;320.5790573;-1.145174205;-0.981910043;0.024871241
179;358;0.184670964;306.1123817;-1.138133776;-0.981775828;0.031798632
180;360;0.178757561;296.3102667;-1.13228789;-0.981680857;0.022951922
181;362;0.17547383;290.8671226;-1.12902907;-0.981666642;0.021993622
182;364;0.171199296;283.7816137;-1.128591516;-0.981745897;0.022299838
183;366;0.173877125;288.2204092;-1.129842691;-0.981886785;0.024060158
184;368;0.17687093;293.1829698;-1.130777399;-0.982017168;0.024269078
185;370;0.175537425;290.9725378;-1.129530106;-0.982067596;0.032411893
186;372;0.171131447;283.6691459;-1.125357821;-0.982012749;0.024390616
187;374;0.163239299;270.5870454;-1.11905682;-0.98187803;0.023836153
188;376;0.154519569;256.1331366;-1.112785156;-0.981717788;0.023597539
189;378;0.154650129;256.3495533;-1.108960598;-0.981588931;0.024151992
190;380;0.156630439;259.6321355;-1.109369671;-0.981541167;0.024107247
191;382;0.162360685;269.1306459;-1.114611814;-0.981606159;0.031511796
192;384;0.172125391;285.3167173;-1.123673789;-0.98177508;0.023189489
193;386;0.18324917;303.7556024;-1.134083191;-0.981996368;0.023223879
194;388;0.189727877;314.4947696;-1.142451225;-0.982179676;0.022710761
195;390;0.193961402;321.512301;-1.146286842;-0.982240856;0.023991047
196;392;0.191208618;316.94926;-1.144765599;-0.982149274;0.031200572
197;394;0.187096843;310.1335416;-1.139211559;-0.981967213;0.02182695
198;396;0.183156442;303.6018945;-1.132139338;-0.981797499;0.022281562
199;398;0.173879948;288.2250885;-1.125902514;-0.981710544;0.02417595
200;400;0.1693403;280.7001244;-1.121785627;-0.981713024;0.024878273
201;402;0.17086454;283.2267188;-1.119685506;-0.981763744;0.025401063
202;404;0.169373956;280.7559131;-1.118728058;-0.981808187;0.033170147
203;406;0.170183694;282.0981421;-1.118184275;-0.981809425;0.023121896
204;408;0.169357749;280.729048;-1.118043687;-0.981767765;0.024970704
205;410;0.17299072;286.7510948;-1.118896763;-0.981715875;0.022348691
206;412;0.176719384;292.9317654;-1.121449165;-0.981700249;0.02449916
207;414;0.185433385;307.3761779;-1.125889615;-0.981752953;0.024073219
208;416;0.189211257;313.6384142;-1.131411094;-0.981871558;0.024495368
209;418;0.199013195;329.8862029;-1.136272344;-0.982012209;0.032741453
210;420;0.200776986;332.8098791;-1.138361864;-0.982101619;0.023140614
211;422;0.195746863;324.4718985;-1.136420056;-0.982086852;0.024285639
212;424;0.190546304;315.8514014;-1.130734671;-0.981969882;0.021785234
213;426;0.182847843;303.0903576;-1.123023517;-0.981798202;0.021875631
214;428;0.173363099;287.3683545;-1.115685854;-0.981635679;0.030817273
215;430;0.168657303;279.5679811;-1.111162242;-0.981543909;0.023233094
216;432;0.170275115;282.2496818;-1.110848335;-0.981553212;0.02276417
217;434;0.179249906;297.1263829;-1.114563506;-0.981656501;0.023607362
218;436;0.186105712;308.4906343;-1.120651952;-0.98181002;0.023147156
219;438;0.19129008;317.0842924;-1.126752339;-0.981946692;0.022908377
220;440;0.192989213;319.9007912;-1.130870453;-0.982005522;0.024436384
221;442;0.19704588;326.6251621;-1.132193566;-0.981969453;0.031641542
222;444;0.196016201;324.9183565;-1.131234579;-0.981877917;0.024007833
223;446;0.19350267;320.7519023;-1.129336693;-0.981798056;0.02321221
224;448;0.194099746;321.7416218;-1.1276354;-0.981774454;0.02255367
225;450;0.194746856;322.814278;-1.126469237;-0.981805343;0.027576969
226;452;0.195939852;324.7917989;-1.125286515;-0.981846198;0.029355007
227;454;0.194888428;323.0489493;-1.123371261;-0.981844319;0.024034159
228;456;0.194745865;322.8126354;-1.120619571;-0.981784169;0.031273585
229;458;0.188661464;312.7270726;-1.117837724;-0.981699426;0.023416923
230;460;0.190217222;315.3059129;-1.11621469;-0.981644715;0.02364673
231;462;0.190025895;314.9887676;-1.116557187;-0.981654814;0.022377781
232;464;0.188644409;312.698802;-1.118838349;-0.981719209;0.023237615
233;466;0.187029434;310.0218033;-1.12230457;-0.981797183;0.02311866
234;468;0.191465962;317.3758355;-1.12598417;-0.981856803;0.022113831
235;470;0.194629843;322.6203163;-1.129036314;-0.981891395;0.031164548
236;472;0.196442925;325.6256984;-1.130958847;-0.981907127;0.023114313
237;474;0.201372603;333.7971807;-1.131535589;-0.981902431;0.024043727
238;476;0.197656107;327.6366806;-1.130759954;-0.981875142;0.023240224
239;478;0.195151556;323.485112;-1.129029307;-0.981842482;0.023423014
240;480;0.191774498;317.8872681;-1.126928254;-0.981828088;0.02290961
241;482;0.190022392;314.982961;-1.124754339;-0.981834572;0.031880301
242;484;0.192126883;318.4713852;-1.122390309;-0.981846921;0.023659673
243;486;0.190400298;315.6093803;-1.119389401;-0.98185501;0.022279447
244;488;0.184496473;305.8231431;-1.115531751;-0.981856796;0.022779397
245;490;0.178705464;296.2239109;-1.110710417;-0.981830416;0.02373457
246;492;0.175489249;290.8926808;-1.105430597;-0.981746198;0.024918889
247;494;0.171650305;284.5292106;-1.100958085;-0.9816201;0.023520758
248;496;0.171040569;283.5185067;-1.099157411;-0.981528567;0.030969163
249;498;0.174080978;288.5583174;-1.101335903;-0.981547532;0.022873998
250;500;0.179347914;297.2888418;-1.107223215;-0.981690712;0.023824454
251;502;0.185942706;308.2204328;-1.114883482;-0.981893078;0.02215472
252;504;0.190150809;315.1958251;-1.121622973;-0.98205033;0.023659992
253;506;0.189719972;314.4816666;-1.125321678;-0.982090969;0.024800302
254;508;0.186966922;309.9181831;-1.125469656;-0.982028343;0.032844956
255;510;0.18719131;310.2901311;-1.122961476;-0.98192388;0.023784901
256;512;0.180140473;298.6025957;-1.119241545;-0.981829681;0.024784947
257;514;0.178684787;296.1896361;-1.115723996;-0.981768756;0.02308306
258;516;0.178690375;296.1988985;-1.113301884;-0.981745367;0.022863498
259;518;0.178935146;296.6046333;-1.112323626;-0.981758891;0.021963923
260;520;0.177868176;294.8360142;-1.112530248;-0.981798793;0.02337356
261;522;0.179727143;297.9174556;-1.113224575;-0.981839454;0.033087301
262;524;0.180582736;299.3356952;-1.113646812;-0.981854369;0.02494131
263;526;0.177949046;294.9700655;-1.113480642;-0.981839565;0.023330139
264;528;0.178550731;295.9674236;-1.112931365;-0.981809235;0.02287002
265;530;0.178778069;296.3442614;-1.112394246;-0.981773039;0.022508587
266;532;0.178030561;295.1051848;-1.112411969;-0.981735915;0.022801183
267;534;0.178983369;296.6845681;-1.113569654;-0.981712452;0.024452241
268;536;0.184622652;306.0322989;-1.116236221;-0.981727504;0.031804223
269;538;0.184064327;305.1068133;-1.120188694;-0.981793491;0.024558044
270;540;0.188593668;312.6146929;-1.124544297;-0.981888837;0.023819113
271;542;0.190896845;316.4324612;-1.128145415;-0.98196672;0.024945499
272;544;0.194869161;323.0170113;-1.129900634;-0.981988;0.02312803
273;546;0.196013049;324.9131316;-1.129394409;-0.981956149;0.021503141
274;548;0.192909268;319.7682746;-1.1269358;-0.981902141;0.029004362
275;550;0.189542898;314.188146;-1.123345342;-0.981851691;0.023232856
276;552;0.186538064;309.2073046;-1.119356397;-0.981811769;0.024853035
277;554;0.184737675;306.2229619;-1.115542594;-0.981780903;0.022482255
278;556;0.179749664;297.9547871;-1.112344492;-0.981754456;0.022925518
279;558;0.17702241;293.4340641;-1.110213901;-0.981723527;0.024146137
280;560;0.176165902;292.0143075;-1.109729842;-0.981683462;0.03235117
281;562;0.179644585;297.7806069;-1.111491127;-0.981649624;0.022077044
282;564;0.184361933;305.6001283;-1.115864884;-0.981656726;0.02311546
